products_id,products_and_services
d379f2ced32e7806893e4232fdbd0f9544146ae8,steels and metals - forming and cutting
20d8631bd54d2c718a32a8cf80bc910b0eab0648,steels and metals - machining
6b91c2ca1f831dcafcc4c2a889b52f7e43d7e8d0,steels and metals - surface treatment and coating
60f41e1221ace9420db85d4107fab3109a1eba58,"hand tools, non-power"
3437f6e23dd6dd939e30657a2aeffd8e2f89d7e9,portable power tools
164399edbf8e880dc2e856f50d51e720bd0a8abe,"fish, frozen and deep-frozen"
b0d3c55743b1b858ec2843c8870116bb8af543fd,drilling and test boring - equipment
b14c038972e6a52bfbf3ffbe77def57a62c5b9cf,well-management services
abadc2542b4b5c1ecfe41c22afb2347b1d9b65af,electronic data processing - software
60c58ad2ef34d96fae028f1039fab03dec9eb9a2,communication
d0d1990bef6f8b079eca51882f41290774decf44,public relations agencies
d5233a96a250ab119db7cdf6d94442b604e225be,"indoor and greenhouse plants, floristry"
0f3dd9f2eddddd9b3d46d56dcbf57409342f12f4,nurseries
0d6c83362fc84be935ad2ad2fbabd0208a3114fe,plastics - industrial products
9a4f8475c8f2d0ceca9c7f5f945a6c3b91368217,furnishings - accessories and decorative objects
3b12ea31d5458a64b384de7f8efa70350eea0e3c,stationery
cd190a9cbbfec4de6bae736b55221641ef606924,architects - consultants
e076792bee168c3fabbd09b2c3e8a7f0b3443ecb,"locks, bolts and keys"
db65bea44e905902ada8e14515fac95cde682fd5,protection and security services
459887ad3eeaaeeba46c179bd8a2e0f60d8836ae,buses and coaches
571ff47c5bb8b8edbec94d3140e25d328d23afe9,travel and tourism
dd43cd18c56b34dea7383204a1fb2850c16f2071,travel agencies
fa3440b9219e863ed92cc6b7b67f82c70f29f33c,tour operators
f942c4f5e9a4848ff4c0d2c687a003adec074bff,coaches - international travel
cddc17e7f295d9ce669fb1553e2df78bfa8146cd,painting - contractors
adc0c1b245d5f767aadaa6df9a51c3c102cbb3fd,"stones, roofing"
57dcbc55e73b5c88c5056bf18c7f06280179ecb4,civil roofing
62c43b601707f213a33697c0e8ed29e9b1d54ee7,electricity - works
dad992b0de6fef87739e86ef4791bb018f775d0d,staff and stucco
4d68f7e0d811d4fd42eb26d4ad5e04a6df7fad00,stoneware tiles
7b57f0f7995a0e1db8977486779be38d491aff2d,"hardware, building construction"
3e9568b8c976bf35fe61e040fab4aff6a319d8b7,industrial hardware
352651a899aa0a863805d1070ad191c1b4877dc9,"drinks, soft"
67750ca62d5f672e79e2fdc3fb77fe03e1dc67d2,beverage industry - machinery and equipment
024e2aa5febc488d1ec5b36070b457f579374c47,"refrigeration plants and equipment, commercial and industrial"
65c17e59293cc0d56ff6c1dd2e07eafc5bc80aeb,refrigerated display units and windows
