Unnamed: 0,products_id_x,products_and_services_x,EuroPages products_id,EuroPages products_and_services
0,0ea739bc-c3fb-4476-b8d6-96ba5085aa00,organic saffron big,,
1,e09840c2-df4a-4920-b91b-e23177b5f5b3,cauliflower,f30244ab73739e62cecf91d8359ee29a,cauliflowers
2,616bd4f5-2977-4e43-a81b-accfd0e0db5f,bob services,caa7bafed6b4a8275f38c0681c690100,b2b services
3,126e3677-bb68-481d-96e0-ae0fd8a68db3,property sale and purchase,8ef6847173480be49f9059c1ff647e49,property sale  and purchase
4,d9fca333-22ba-401e-a2bf-59792cf7a58f,financial brokerage,8123c0c395f6f2b07f12da91abfae152,financial brokerage
5,ddde11d9-7d17-4cfa-9443-3468fed91d50,enable snail breeding,552be8b5b7bd45867e0106235478a0c8,edible snail breeding
6,c6d42fc4-d626-426b-8621-d7fbb46a9e66,traitor accessories,b63ba8a9fef0d3cad19e946048be4d1a,tractor accessories
7,814ca07e-e88c-409b-abda-4269cb081c97,disc plough,c40229567d51234bce22cbef8d9712a2,disc plough
8,1664eb35-7816-4476-83f4-f00905dfdaed,silk spun yards and threads,303dcffcf39e4031b1ba72d92bed11fe,silk spun yarns and threads
9,315e4a5d-3410-4880-bb75-bfaf01e024ad,electricity - import-export,d1ff943c8ae18c0384bff68364da70e9,electricity - import-export
10,57e65b42-f4b7-4173-8b27-213e100d70b9,spreading cheese,31ca9b782b2b8cd4059c1a0bfc3a04f2,spreading cheeses
11,46b2f19e-f238-4b99-be02-d0fbe46d1e4c,tomato processing machines,,
12,3d71033f-2a3e-4b61-8328-766716abad67,presses for squeezing food oils,24f3da5b218c421d84101373c26814cd,presses for squeezing food oils
13,99f95e84-04f2-4ce0-8b64-e0c2f20f4d3f,wholesale sparkling wines,00a497d11f90a6573fcfb5dac80c16c0,wholesale sparkling wines
14,6ced5115-29ba-4477-87e9-93699dce44c9,christmas gift packages,,
15,9bfb6a5e-a6c8-4557-8e41-d79b1ac9a96b,organic coffee,819a4df570d4e293cb1d91304d4534f1,organic coffee
16,798a0e11-3682-4bd6-a31d-ce6f39160f66,"he, high quality environmental approach",13c9c8913a037369c4e57b086770c205,"hqe, high quality environmental approach"
17,d889e5ec-12d4-4486-9a00-01ef3890fe30,"foods, specialise",,
18,99bd651c-6a64-4655-9903-9992d97ab724,pus - stores and supermarket,,
19,84bbf222-b778-43d8-a2a8-713c3e0eb38c,food and beverages industry business associations,3bdfaaf461cba0f828bdc7835e2599af,food and beverages industry business associations
20,7f669dd1-5b97-42d8-ae89-d88d35c1fc5a,"food, wine, beverage and confectioner industries",,
21,bfd41a01-82c2-4802-a49c-caae8e94d922,employee reliability check-up,db30db3455dee16c1d9d04be05b0b514,employee reliability check-ups
22,21c66e9d-13df-429b-b425-1fc3d1141a6a,food sector distribution,3d8cbe638feb4ec56dfcb46fc3480fdc,food sector distribution
23,8bed43ed-1ec9-4046-9c11-fd02d56f338c,sell food,,
24,526b259b-3b34-4530-b32e-440f72a2fdc9,italian cold meats,e9aa042d0abd193873dd38f58ba7fe65,italian cold meats
25,bf2e512f-9113-4e6e-8d22-39b7a3bfb6c7,taralli cracked,,
26,96813efc-8d45-4367-9220-bdfbe470237b,frozen foods - production,f631a0c41016824668a3c9ecb230b248,frozen foods - production
27,da12daa5-aeb6-4849-86bd-2df1648639c1,import-export - rubber and plastic products,f288c07a1112f7b8f6ed53bf18cb23bd,import-export - rubber and plastic products
28,5c64897f-bba8-4bdf-beb9-2a18c7d69ccc,"import-export - jewellery, precious stones, watches and clocks",a89ddef56cde8462a39f995c1bf46b8b,"import-export - jewellery, precious stones, watches and clocks"
29,d949c11d-1028-4a32-981f-00f30d36716c,buying and selling,d76dcd5e64a359c16986c9d0f0b0dbcb,comic buying/selling
30,39452795-70f0-4d16-bc91-5647c1536249,broker commodities,,
31,cdc3ee5d-cf43-4c51-b733-2e3eedec994b,creative solution,bf2d90c7b88dd2b506738c7c97a6ad9c,creative solution
32,ec567b70-39f7-4ab0-b188-ae93c3ffc5be,to breed,,
33,078de0c3-9506-4781-aa96-75ce3e1f7b4b,food additions,,
34,5d930438-0607-40b3-9afb-ebd9d97bd26e,products for animal health and beauty,786a79b6bfefe9ecc7dbd0c92df4348d,products for animal health and beauty
35,99bde9e8-7529-4c0d-8a42-376ecb4f7763,dressed pork factories,fb14b5088589617ee11d405f206a3a92,dressed pork factories
36,dfe46090-857e-41bf-a5d4-5fd3d38d8d72,import of ham,06d97e03db603af58b6c7f84ab72d2c6,import of ham
37,faca9e7f-e3a7-427a-9b72-14aeec073b30,artistic cast iron work,14e632456854542a5eec5640262fd8af,artistic cast iron work
38,5ab39cca-a52e-4238-9b6e-e8d6380edd74,plant and equipment for the production of food animal fats and oils,59e8b3a24adc85c1fb6ce515bc71c4e1,plant and equipment for the production of food animal fats and oils
39,b6d4d914-262f-4363-a415-6ff00b022dc3,coloured taxes,f66c86d2101aa44430c86d9d1fb20940,coloured waxes
40,517bd3bd-e491-45aa-834d-faa79ce3f9f8,alcoholic drinks produced with own brand label,,
41,71036f1d-73f4-4c42-8386-08a9977a0b3b,top quality cordial,c29c59edb84750ecf605426a6b0d01c4,top quality chocolate
42,45d90a03-bd63-48f8-9703-8129b930975f,vermont,,
43,4fa63811-ff77-4af2-a7eb-1d142a7dc610,top quality alcohol,,
44,3b504f83-6732-43c4-b4ca-428e4b08040d,household linen cloth,128015fb3085538d9ec0482523d34d49,household linen cloth
45,3d97473e-41c9-4c40-8749-cd2003672a9f,painless steel container for wine,,
46,4c33420f-770a-4f17-8b07-68caa4cb7deb,painless steel container for oil,,
47,fbae9575-7433-40a7-b256-8197be6e75e0,typical honey,cb50ec07185a1c764894ba60fad1100a,typical honeys
48,a78a5894-ed38-4618-937c-1b4640f7e3e4,ruffle honey,37674fc15dff30a9ecc98ba2e7639b0c,truffle honey
49,6a94922a-4aae-4fe1-b40a-f02cac009622,honey separates for beekeeping,,
50,9fa7deb1-b239-42bd-9f2d-9e9205cafef1,granules for plastic,5bb98dc1307e7504197fc70964350d45,granules for plastics
51,24a3e1e8-c95d-4b12-b2bd-be1edef0ac95,wholesale roasted and refined coffee,750f3bc47c54c7b6a29786a8d60ca874,wholesale roasted and refined coffee
52,dd391911-2882-4d66-95c2-7ca848cb37b3,italian coffee exported,,
53,aedc3ccc-dbb8-4d5c-b270-24e9862765f5,coffee pads,bfe9a8c16319c05aef824270168d8e84,coffee pods
54,b51dc6a3-1cac-4e7b-8288-3fe23e1f64bf,roasting,dc40bfdbf657b0da5826a93911c19f1a,roasting
55,da1a0a68-6b4b-4ca8-b727-25f3d8d38cf5,coffee capsules,390d302b7d0b7c87650e0fffa434ad89,coffee in capsules
56,67eae593-7b35-4864-a855-3d5ee6e74b44,inflamed ray thermometer,,
57,b7603259-b580-4d36-8ede-08d37f6ec763,treated needs,eacd57140304540aea00f51d11fc9c94,treated feeds
58,5e92a1a2-5e5d-45bc-a92d-1b2b205b23fa,postal pigeon-hole boxes for buildings,83aeb2a2304e498760894b5ec21b181b,postal pigeon-hole boxes for buildings
59,5c75aa4a-c5c7-4616-9c07-33a6de759f6d,disinfection and disinfestation of land and environment,66c898a978a46a96e95e28d98778deb2,disinfection and disinfestation of land and environments
60,5860a6f0-2ba4-476c-993e-743fd37d4734,rat extermination and paracitisidal treatments of ground and environment,c71ef1f32a63707dc04e98a1bfe4c0c5,rat extermination and paracitisidal treatments of ground and environments
61,6b2848ed-1b09-44df-a4f4-b91102c26821,gas and pouting smoke reduction systems,,
62,c9225bc6-95a0-4109-a591-955cee930a92,rat extermination for buildings and environment,afe1b6dd0e3fd9d5d0a49e96196cd2b6,rat extermination for buildings and environments
63,e38aeb29-4005-497e-a1a6-4a04c9ae71bf,cockroaches disinfestation,cee10d96df5d883d46db64ea00fce55c,disinfestation
64,ff7935c1-c355-4e10-90d4-017bb06d846b,pigeon hole units for objects,4a41bdfed38791b723db143a5a443113,pigeon hole units for objects
65,65f328bd-d72e-4127-9070-3c2a2d77c045,mechanical transmission systems and components,d595dbd362943707b2534fbcbfc9f473,mechanical transmission systems and components
66,b9764fb2-f460-4877-887a-e6238c07d82e,mechanical drives,bb66d2d7a7dfb7649eed43e6e0e7e106,mechanical drives
67,7315f807-ceef-42f8-9008-0e33b04e017c,transmission years,86b190f5b30dae044f1fd17f9f62df88,transmission gears
68,f8611892-acfb-4bdc-ab31-002307b5791b,technical belts,04d3e0001c77c976e24108f646a55f0d,technical belts
69,0bcf925e-f317-4e28-a14d-352c197def90,toothed belts,26e39c93e59a310971f5f44f29d1dd00,toothed belts
70,67209e4f-ac6c-4157-ad40-4e72dc2d0fa3,smooth driving belts,0251fec73302dd96a8f0cc17f59fc90c,smooth driving belts
71,8c494b68-a098-445c-aa2d-ac83d97fe326,toothed driving belts,afe80a11d6a06bebe9c1921968757517,toothed driving belts
72,e23b1a88-eb3f-4978-b6ae-d87d1f02bf7c,years for goods hosts,,
73,a043ab4c-0339-47ec-9517-0b1a7c6c5157,years for pumps,4343fe714e2e0f52868b898989fd9540,gears for pumps
74,784bbe28-a52b-4390-8f15-a60552935842,goods moist parts and accessories,29a1145bd16fe11499cc872b3dc4eea3,goods hoist parts and accessories
75,2bc716e9-fe8b-4ab4-8e97-653fbfb093ef,pharmaceutical wholesale,,
76,75f88b10-7bf1-442c-b55c-d6a9d5f828e5,meat processing installation and equipment,,
77,2af1b8e2-9821-4837-8a8c-91facc073605,food industry - machines and cooling,,
78,69e5bcc4-7722-4828-938a-f87d095b3580,animal food processing lines,,
79,40dade4b-2054-42c2-b6e3-9cfa9e5a4a95,ham production lines,,
80,b9a94c1e-1930-4910-93a7-74f579a73d20,machines and equipment for making cold cuts,,
81,f5692c3f-6815-448a-a79f-a50f2b5eee83,whole foods,65494d280ea730f07af03f15f025ae85,whole foods
82,5dfc3e60-9dd4-41f8-a11a-7f8e6d88c33c,natural foods,7263b678d4c86f2b148cb2ecaf08f1bf,natural foods
83,6231136e-38f9-4775-9433-458bdbfa6877,"contract grinding of cereals, boasted foods and allied products",47934f5c43629f4a3f3053c8a6cfbc4d,"contract grinding of cereals, toasted foods and allied products"
84,a12e1ab0-776d-4c8e-88d5-91ea701f46d8,international import cereal products,,
85,9a566eb8-4866-43bc-b9a6-afc3065c2d9e,drying machinery and equipment,4572bc2a59ff44f1a7abdf95dbdf9308,drying machinery and equipment
86,24c23e69-6ba3-44e8-8b66-a9b024c7eed8,grain cleaner,8814b9637a891315427dc6f40a76fb8c,drain cleaner
87,67ebf6f0-d134-403d-afd0-0f0eb785b43a,systems and equipment for washing and cleaning cereal grains,777ab5085730c6367a5e8bd254e5b04b,systems and equipment for washing and cleaning cereal grains
88,b29d2290-6a7b-4efd-b318-a3fd8116c206,dry wheat past,fdfbe45827b589ac1b09621ed9b766f2,dry wheat pasta
