,products_id,products_and_services
0,0ea739bc-c3fb-4476-b8d6-96ba5085aa00,organic saffron big
1,e09840c2-df4a-4920-b91b-e23177b5f5b3,cauliflower
2,616bd4f5-2977-4e43-a81b-accfd0e0db5f,bob services
3,126e3677-bb68-481d-96e0-ae0fd8a68db3,property sale and purchase
4,d9fca333-22ba-401e-a2bf-59792cf7a58f,financial brokerage
5,ddde11d9-7d17-4cfa-9443-3468fed91d50,enable snail breeding
6,c6d42fc4-d626-426b-8621-d7fbb46a9e66,traitor accessories
7,814ca07e-e88c-409b-abda-4269cb081c97,disc plough
8,1664eb35-7816-4476-83f4-f00905dfdaed,silk spun yards and threads
9,315e4a5d-3410-4880-bb75-bfaf01e024ad,electricity - import-export
10,57e65b42-f4b7-4173-8b27-213e100d70b9,spreading cheese
11,46b2f19e-f238-4b99-be02-d0fbe46d1e4c,tomato processing machines
12,3d71033f-2a3e-4b61-8328-766716abad67,presses for squeezing food oils
13,99f95e84-04f2-4ce0-8b64-e0c2f20f4d3f,wholesale sparkling wines
14,6ced5115-29ba-4477-87e9-93699dce44c9,christmas gift packages
15,9bfb6a5e-a6c8-4557-8e41-d79b1ac9a96b,organic coffee
16,798a0e11-3682-4bd6-a31d-ce6f39160f66,"he, high quality environmental approach"
17,d889e5ec-12d4-4486-9a00-01ef3890fe30,"foods, specialise"
18,99bd651c-6a64-4655-9903-9992d97ab724,pus - stores and supermarket
19,84bbf222-b778-43d8-a2a8-713c3e0eb38c,food and beverages industry business associations
20,7f669dd1-5b97-42d8-ae89-d88d35c1fc5a,"food, wine, beverage and confectioner industries"
21,bfd41a01-82c2-4802-a49c-caae8e94d922,employee reliability check-up
22,21c66e9d-13df-429b-b425-1fc3d1141a6a,food sector distribution
23,8bed43ed-1ec9-4046-9c11-fd02d56f338c,sell food
24,526b259b-3b34-4530-b32e-440f72a2fdc9,italian cold meats
25,bf2e512f-9113-4e6e-8d22-39b7a3bfb6c7,taralli cracked
26,96813efc-8d45-4367-9220-bdfbe470237b,frozen foods - production
27,da12daa5-aeb6-4849-86bd-2df1648639c1,import-export - rubber and plastic products
28,5c64897f-bba8-4bdf-beb9-2a18c7d69ccc,"import-export - jewellery, precious stones, watches and clocks"
29,d949c11d-1028-4a32-981f-00f30d36716c,buying and selling
30,39452795-70f0-4d16-bc91-5647c1536249,broker commodities
31,cdc3ee5d-cf43-4c51-b733-2e3eedec994b,creative solution
32,ec567b70-39f7-4ab0-b188-ae93c3ffc5be,to breed
33,078de0c3-9506-4781-aa96-75ce3e1f7b4b,food additions
34,5d930438-0607-40b3-9afb-ebd9d97bd26e,products for animal health and beauty
35,99bde9e8-7529-4c0d-8a42-376ecb4f7763,dressed pork factories
36,dfe46090-857e-41bf-a5d4-5fd3d38d8d72,import of ham
37,faca9e7f-e3a7-427a-9b72-14aeec073b30,artistic cast iron work
38,5ab39cca-a52e-4238-9b6e-e8d6380edd74,plant and equipment for the production of food animal fats and oils
39,b6d4d914-262f-4363-a415-6ff00b022dc3,coloured taxes
40,517bd3bd-e491-45aa-834d-faa79ce3f9f8,alcoholic drinks produced with own brand label
41,71036f1d-73f4-4c42-8386-08a9977a0b3b,top quality cordial
42,45d90a03-bd63-48f8-9703-8129b930975f,vermont
43,4fa63811-ff77-4af2-a7eb-1d142a7dc610,top quality alcohol
44,3b504f83-6732-43c4-b4ca-428e4b08040d,household linen cloth
45,3d97473e-41c9-4c40-8749-cd2003672a9f,painless steel container for wine
46,4c33420f-770a-4f17-8b07-68caa4cb7deb,painless steel container for oil
47,fbae9575-7433-40a7-b256-8197be6e75e0,typical honey
48,a78a5894-ed38-4618-937c-1b4640f7e3e4,ruffle honey
49,6a94922a-4aae-4fe1-b40a-f02cac009622,honey separates for beekeeping
50,9fa7deb1-b239-42bd-9f2d-9e9205cafef1,granules for plastic
51,24a3e1e8-c95d-4b12-b2bd-be1edef0ac95,wholesale roasted and refined coffee
52,dd391911-2882-4d66-95c2-7ca848cb37b3,italian coffee exported
53,aedc3ccc-dbb8-4d5c-b270-24e9862765f5,coffee pads
54,b51dc6a3-1cac-4e7b-8288-3fe23e1f64bf,roasting
55,da1a0a68-6b4b-4ca8-b727-25f3d8d38cf5,coffee capsules
56,67eae593-7b35-4864-a855-3d5ee6e74b44,inflamed ray thermometer
57,b7603259-b580-4d36-8ede-08d37f6ec763,treated needs
58,5e92a1a2-5e5d-45bc-a92d-1b2b205b23fa,postal pigeon-hole boxes for buildings
