,products_and_services,products_id,language (ISO-code),typo_corrected
0,persian blue salt,50abde66-58b7-4fb3-a007-1077fa41a010,ca,persian blue salt
1,rossoro,2b898f73-e699-4b52-926d-476b51dacd42,pt,rossoro
2,peas,a7849fec-bf97-48b0-b89b-cb910a8d6dc8,ro,peas
3,fuel,2a782696-0317-43ad-8f2d-0560e17acd8d,es,fuel
4,tomato paste,e815f6fd-7684-4f67-8cd3-7ca65edc43c6,it,tomato paste
5,silkworms,4cfbc8e4-3ae6-4909-9827-0e8bdc908be9,af,silkworms
6,commerciante,4d813cfb-e2ac-4458-a8c4-6ed785df7d5e,it,commerciante
7,walnut kernel,fac7c136-c169-41f0-9e91-d9dfb3ed9151,de,walnut kernel
8,mozzarellas,4641a592-8a26-450c-ad46-d1ea99565552,it,mozzarellas
9,calabrian cuisine,f8592b25-a1ed-41dd-818e-b77b17a09589,ro,calabrian cuisine
10,pepper,4b3fd13e-3d2b-4ea0-9f64-fbc7f41bbc7d,it,pepper
11,import-export assistance,a2bf0869-a679-4cf6-bd91-417eac73144a,fr,import-export assistance
12,sell bevarage,29a6fd6c-b361-467f-b5f4-8ee75e254ba6,no,sell bevarage
13,alcohols,0bba0aa6-3634-45fb-a349-fc66779fa879,ca,alcohols
14,breadsticks,af58278d-9353-4f02-9e82-4571d5aaba63,sv,breadsticks
15,supermarket,9c5cf603-2e63-46fc-a239-40d0379cece6,id,supermarket
16,import-export - computers,36325dac-2f16-4c26-953f-492c10996cb5,fr,import-export - computers
17,grossista di fiori di canapa e derivati,ab9850c2-cd93-418e-a0b7-4e7a6a664f45,it,grossista di fiori di canapa e derivati
18,migliore canapa,fe448abc-1724-4411-b8b5-21dd94270039,it,migliore canapa
19,produzione olio extravergine oliva,dfa67ea4-787f-4f97-84cb-367689dbcbc0,it,produzione olio extravergine oliva
20,vegetable growing,bff10d78-dbe7-4376-8587-7a6574690f93,af,vegetable growing
21,prodotti tipici liguri,cb2212c1-644a-4f46-a9d5-85c52822a17f,it,prodotti tipici liguri
22,importazione oglio di girasole,a4046729-c159-425d-90bc-3bacf005c1f6,it,importazione oglio di girasole
